	TGCP	MRLP	STT	FSSP	HNL	MPO	OICP	IRO	HGRF	PTP	RRL	RRO	CPS	PPNP	FPPI	CRWA	PCRA	DHFA
TGCP		0.106911	0.190549	0.129135	0.490192	0.182112	0.104701	0.081977	0.1702	0.155212	0.089638	0.140571	0.138329	0.584703	0.558862	0.0958105	0.0964928	0.458313
MRLP			0.192119	0.124391	0.48455	0.181521	0.173061	0.0649129	0.18003	0.169929	0.0729477	0.131789	0.117541	0.573211	0.554779	0.0943969	0.082747	0.45166
STT				0.183224	0.504869	0.0643092	0.25621	0.124999	0.335231	0.317062	0.11816	0.177695	0.157311	0.601599	0.575516	0.143117	0.136732	0.474785
FSSP					0.479487	0.178628	0.206463	0.0904124	0.200256	0.196223	0.0960066	0.167431	0.139171	0.569273	0.544722	0.0971102	0.0888102	0.446761
HNL						0.516558	0.535226	0.44413	0.548191	0.544202	0.434285	0.465593	0.430992	0.220417	0.206547	0.463083	0.448041	0.123188
MPO							0.246356	0.112476	0.348813	0.322316	0.105581	0.165883	0.155553	0.61878	0.593839	0.130419	0.125459	0.481167
OICP								0.122177	0.218821	0.191007	0.125948	0.191288	0.193031	0.640502	0.612909	0.134168	0.135465	0.498564
IRO									0.143082	0.112819	0.0606439	0.103625	0.0904785	0.520023	0.498275	0.0726801	0.0701506	0.41748
HGRF										0.183663	0.153134	0.24386	0.205143	0.662715	0.63592	0.177927	0.152516	0.507875
PTP											0.12775	0.214857	0.169663	0.654117	0.625045	0.136142	0.140974	0.502334
RRL												0.0815533	0.0883475	0.51012	0.488303	0.0768502	0.0671066	0.408762
RRO													0.105217	0.544421	0.521526	0.115847	0.124266	0.438259
CPS														0.502494	0.484954	0.109436	0.108518	0.406863
PPNP															0.202874	0.545338	0.523377	0.202763
FPPI																0.522347	0.501022	0.202888
CRWA																	0.0741801	0.434191
PCRA																		0.42287
